Number,Date,Month,Site,SiteMonth,Treatment,Flower,Flower_status,Method,Sex,Genus,Species,GenusSpecies,Family 
1,6/5/2020,June,T6,June-T6,Thinned,Wood,,Net,F,Osmia,atrocyanea,Osmia atrocyanea,Megachilidae
2,6/5/2020,June,T6,June-T6,Thinned,Ground,,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
3,6/5/2020,June,C21,June-C21,Control,Astragalus drummondii,Native,Net,M,Osmia,nigrifrons,Osmia nigrifrons,Megachilidae
4,6/5/2020,June,C21,June-C21,Control,Penstemon secundiflorus,Native,Net,F,Anthophora,porterae,Anthophora porterae,Apidae
5,6/5/2020,June,T6,June-T6,Thinned,Penstemon virens,Native,Net,F,Osmia,bruneri,Osmia bruneri,Megachilidae
6,6/5/2020,June,C21,June-C21,Control,Penstemon secundiflorus,Native,Net,F,Bombus,centralis,Bombus centralis,Apidae
7,6/5/2020,June,T7,June-T7,Thinned,Penstemon virens,Native,Net,F,Osmia,grindeliae,Osmia grindeliae,Megachilidae
8,6/5/2020,June,T6,June-T6,Thinned,Arctostaphylos uva-ursi,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
9,6/5/2020,June,C21,June-C21,Control,Potentilla,Native,Net,,Unknown,,Unknown,
10,6/5/2020,June,T7,June-T7,Thinned,Penstemon virens,Native,Net,F,Lasioglossum,(Sensu stricto) spp.,Lasioglossum (Sensu stricto) spp.,Halictidae
11,6/5/2020,June,C21,June-C21,Control,Mertensia lanceolata,Native,Net,F,Bombus,bifarius,Bombus bifarius,Apidae
12,6/5/2020,June,C21,June-C21,Control,Ground,,Net,F,Osmia,brevis,Osmia brevis,Megachilidae
13,6/5/2020,June,T7,June-T7,Thinned,Penstemon virens,Native,Net,M,Osmia,sp. A,Osmia sp. A,Megachilidae
14,6/5/2020,June,C21,June-C21,Control,Potentilla,Native,Net,F,Andrena,sp. D,Andrena sp. D,Andrenidae
15,6/5/2020,June,C21,June-C21,Control,Potentilla,Native,Net,F,Sphecodes,dichrous ,Sphecodes dichrous ,Halictidae
16,6/5/2020,June,C21,June-C21,Control,Senecio integerrimus,Native,Net,F,Osmia,montana montana,Osmia montana montana,Megachilidae
17,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,F,Andrena,sp. C,Andrena sp. C,Andrenidae
18,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Osmia,juxta,Osmia juxta,Megachilidae
19,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
20,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
21,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
22,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Osmia,brevis,Osmia brevis,Megachilidae
23,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,F,Andrena,amphibola,Andrena amphibola,Andrenidae
24,8/5/2020,August,T1,August-T1,Thinned,,,Blue vane,,Heriades,carinatus,Heriades carinatus,Megachilidae
25,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Osmia,brevis,Osmia brevis,Megachilidae
26,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Hoplitis,albifrons,Hoplitis albifrons,Megachilidae
27,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Osmia,coloradensis,Osmia coloradensis,Megachilidae
28,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Hoplitis,fulgida,Hoplitis fulgida,Megachilidae
29,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
30,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,F,Lasioglossum,(Dialictus) spp.,Lasioglossum (Dialictus) spp.,Halictidae
31,6/5/2020,June,T7,June-T7,Thinned,,,Pan trap,M,Osmia,kincaidii,Osmia kincaidii,Megachilidae
32,7/16/2020,July,T6,July-T6,Thinned,,,Blue vane,F,Bombus,bifarius,Bombus bifarius,Apidae
33,6/4/2020,June,C19,June-C19,Control,,,Pan trap,F,Bombus,centralis,Bombus centralis,Apidae
34,6/4/2020,June,C19,June-C19,Control,,,Pan trap,F,Bombus,centralis,Bombus centralis,Apidae
35,6/4/2020,June,T4,June-T4,Thinned,,,Pan trap,F,Osmia,longula,Osmia longula,Megachilidae
36,6/4/2020,June,T4,June-T4,Thinned,,,Pan trap,M,Atoposmia,abjecta abjecta,Atoposmia abjecta abjecta,Megachilidae
37,6/4/2020,June,T4,June-T4,Thinned,,,Pan trap,M,Andrena,spp.,Andrena spp.,Andrenidae
38,6/4/2020,June,C18,June-C18,Control,,,Pan trap,F,Habropoda,morrisoni,Habropoda morrisoni,Apidae
39,6/4/2020,June,T3,June-T3,Thinned,,,Pan trap,F,Halictus,rubicundus,Halictus rubicundus,Halictidae
40,6/4/2020,June,C17,June-C17,Control,,,Pan trap,F,Bombus,centralis,Bombus centralis,Apidae
