Treatment,Site,Transect,Log_Number,Diameter,Decay
Control,C16,1,1,3,R
Control,C16,1,2,5,R
Control,C16,1,3,3,R
Control,C16,1,4,7,R
Control,C16,2,5,4,R
Control,C16,2,6,3,R
Control,C16,2,7,10,R
Control,C16,2,8,3,R
Control,C16,2,9,3,R
Control,C16,2,10,4,R
Control,C16,3,11,10,R
Control,C16,3,12,3,S
Control,C16,3,13,4,R
Control,C16,4,14,8,R
Control,C16,4,15,7,R
Control,C16,4,16,9,S
Control,C16,4,17,8,R
Control,C16,4,18,3,R
Control,C16,4,19,4,R
Control,C16,4,20,3,R
Control,C16,4,21,5,R
Control,C16,5,22,3,R
Control,C16,5,23,12,R
Control,C17,1,1,3,R
Control,C17,4,2,3,R
Control,C17,5,3,3,R
Control,C18,3,1,8,S
Control,C18,3,2,9,S
Control,C18,3,3,3,R
Control,C18,3,4,3,R
Control,C18,3,5,3,R
Control,C18,4,6,5,R
Control,C18,5,7,8,S
Control,C18,5,8,3,S
Control,C18,5,9,10,R
Control,C19,1,1,10,R
Control,C19,1,2,9,R
Control,C19,1,3,11,R
Control,C19,2,4,3,R
Control,C19,3,5,16,R
Control,C19,3,6,11,S
Control,C19,4,7,9,R
Control,C19,4,8,7,R
Control,C20,1,1,8,R
Control,C20,1,2,11,S
Control,C20,1,3,7,R
Control,C20,2,4,7,R
Control,C20,3,5,4,R
Control,C20,3,6,3,R
Control,C20,5,7,4,R
Control,C20,5,8,3,R
Control,C21,2,1,3,R
Control,C21,3,2,10,R
Control,C21,4,3,3,R
Control,C21,4,4,6,R
Control,C22,1,1,12,S
Control,C22,1,2,3,R
Control,C22,2,3,5,R
Control,C22,2,4,3,S
Control,C22,2,5,11,S
Control,C22,3,6,3,R
Control,C22,3,7,5,R
Control,C22,3,8,3,R
Control,C22,3,9,4,S
Control,C22,3,10,3,S
Control,C22,3,11,10,S
Control,C22,3,12,11,S
Control,C22,3,13,10,R
Control,C22,4,14,3,S
Control,C22,4,15,5,R
Control,C22,4,16,10,R
Control,C22,4,17,7,R
Control,C22,5,18,4,S
Control,C22,5,19,3,S
Control,C22,5,20,12,S
Control,C22,5,21,5,R
Control,C22,5,22,4,R
Control,C23,3,1,7,Burn
Control,C23,4,2,3,R
Control,C24,1,1,3,R
Control,C24,3,2,3,R
