Site,Treatment,Total_Trees,Samplings,Dead
C16,Control,26,28,5
C17,Control,90,90,0
C18,Control,49,7,10
C19,Control,30,10,0
C20,Control,34,8,0
C21,Control,32,10,0
C22,Control,39,33,0
C23,Control,66,4,0
C24,Control,48,2,3
C25,Control,81,4,0
C26,Control,76,5,1
C27,Control,26,0,0
C28,Control,35,25,1
C29,Control,63,20,0
C30,Control,72,35,10
T1,Thinned,16,3,0
T10,Thinned,12,29,0
T11,Thinned,2,40,0
T12,Thinned,21,51,0
T13,Thinned,9,0,0
T14,Thinned,15,1,0
T15,Thinned,10,50,1
T2,Thinned,15,2,0
T3,Thinned,25,32,0
T4,Thinned,8,14,11
T5,Thinned,13,24,0
T6,Thinned,17,0,8
T7,Thinned,17,6,0
T8,Thinned,10,29,0
T9,Thinned,11,48,0
